sector,period,bull_prob,bear_prob,neutral_prob,predicted_regime,forecasted_return,ret_lower,ret_upper
Auto,2026Q3,59.1,18.2,22.7,Bull,0.149,-3.458,3.756
Auto,2026Q4,54.3,24.7,20.9,Bull,0.139,-3.468,3.746
Auto,2027Q1,54.8,25.1,20.1,Bull,0.129,-3.478,3.736
Auto,2027Q2,55.0,25.0,20.0,Bull,0.119,-3.488,3.726
Banking,2026Q3,38.1,23.8,38.1,Bull,0.626,-2.793,4.045
Banking,2026Q4,55.9,23.1,21.0,Bull,0.632,-2.787,4.051
Banking,2027Q1,51.9,22.2,26.0,Bull,0.638,-2.781,4.056
Banking,2027Q2,52.6,22.6,24.8,Bull,0.644,-2.775,4.062
Broad Market,2026Q3,47.1,5.9,47.1,Bull,0.508,-1.887,2.903
Broad Market,2026Q4,42.7,14.8,42.5,Bull,0.515,-1.88,2.91
Broad Market,2027Q1,45.0,15.0,40.1,Bull,0.522,-1.873,2.916
Broad Market,2027Q2,45.3,14.6,40.1,Bull,0.529,-1.866,2.923
Energy,2026Q3,27.8,27.8,44.4,Neutral,-0.004,-3.237,3.23
Energy,2026Q4,50.5,17.5,32.0,Bull,-0.021,-3.255,3.213
Energy,2027Q1,43.3,20.8,36.0,Bull,-0.038,-3.272,3.195
Energy,2027Q2,45.6,19.8,34.7,Bull,-0.056,-3.29,3.178
IT,2026Q3,38.9,16.7,44.4,Neutral,0.42,-2.813,3.654
IT,2026Q4,47.8,14.8,37.4,Bull,0.422,-2.812,3.655
IT,2027Q1,46.6,15.1,38.3,Bull,0.423,-2.81,3.657
IT,2027Q2,46.8,15.0,38.2,Bull,0.425,-2.809,3.658
Pharma,2026Q3,16.7,50.0,33.3,Bear,0.238,-1.699,2.175
Pharma,2026Q4,34.7,29.2,36.1,Neutral,0.248,-1.689,2.186
Pharma,2027Q1,35.5,31.6,32.9,Bull,0.258,-1.679,2.196
Pharma,2027Q2,36.4,30.6,33.0,Bull,0.269,-1.669,2.206
