sector,period,bull_prob,bear_prob,neutral_prob,predicted_regime,forecasted_return,ret_lower,ret_upper
Auto,2026-W02,52.7,31.5,15.8,Bull,0.167,-9.652,9.987
Auto,2026-W03,48.9,36.8,14.3,Bull,0.167,-9.653,9.986
Auto,2026-W04,48.4,37.6,14.0,Bull,0.166,-9.653,9.985
Auto,2026-W05,48.3,37.8,13.9,Bull,0.165,-9.654,9.985
Auto,2026-W06,48.3,37.8,13.9,Bull,0.165,-9.655,9.984
Auto,2026-W07,48.3,37.8,13.9,Bull,0.164,-9.655,9.983
Auto,2026-W08,48.3,37.8,13.9,Bull,0.163,-9.656,9.983
Auto,2026-W09,48.3,37.8,13.9,Bull,0.163,-9.657,9.982
Banking,2026-W02,48.6,34.6,16.8,Bull,0.259,-8.418,8.936
Banking,2026-W03,48.5,33.7,17.8,Bull,0.258,-8.419,8.934
Banking,2026-W04,48.6,33.6,17.8,Bull,0.256,-8.421,8.933
Banking,2026-W05,48.6,33.6,17.8,Bull,0.255,-8.422,8.932
Banking,2026-W06,48.6,33.6,17.8,Bull,0.253,-8.424,8.93
Banking,2026-W07,48.6,33.6,17.8,Bull,0.252,-8.425,8.929
Banking,2026-W08,48.6,33.6,17.8,Bull,0.251,-8.426,8.928
Banking,2026-W09,48.6,33.6,17.8,Bull,0.249,-8.428,8.926
Broad Market,2026-W02,47.5,22.1,30.4,Bull,0.348,-4.946,5.641
Broad Market,2026-W03,47.6,24.8,27.7,Bull,0.348,-4.946,5.641
Broad Market,2026-W04,47.5,24.9,27.6,Bull,0.348,-4.946,5.641
Broad Market,2026-W05,47.5,24.9,27.6,Bull,0.348,-4.946,5.641
Broad Market,2026-W06,47.5,24.9,27.6,Bull,0.348,-4.946,5.641
Broad Market,2026-W07,47.5,24.9,27.6,Bull,0.347,-4.946,5.641
Broad Market,2026-W08,47.5,24.9,27.6,Bull,0.347,-4.946,5.641
Broad Market,2026-W09,47.5,24.9,27.6,Bull,0.347,-4.946,5.641
Energy,2026-W02,56.9,26.6,16.5,Bull,-0.041,-4.792,4.71
Energy,2026-W03,50.2,33.1,16.8,Bull,-0.043,-4.794,4.708
Energy,2026-W04,49.4,33.8,16.8,Bull,-0.044,-4.795,4.707
Energy,2026-W05,49.4,33.8,16.8,Bull,-0.046,-4.797,4.705
Energy,2026-W06,49.3,33.9,16.8,Bull,-0.048,-4.799,4.703
Energy,2026-W07,49.3,33.9,16.8,Bull,-0.05,-4.801,4.701
Energy,2026-W08,49.3,33.9,16.8,Bull,-0.052,-4.803,4.699
Energy,2026-W09,49.3,33.9,16.8,Bull,-0.054,-4.805,4.697
IT,2026-W02,53.5,29.6,16.9,Bull,0.237,-6.404,6.877
IT,2026-W03,49.6,31.3,19.1,Bull,0.236,-6.404,6.877
IT,2026-W04,49.2,31.9,18.9,Bull,0.236,-6.405,6.876
IT,2026-W05,49.1,32.0,18.9,Bull,0.235,-6.405,6.875
IT,2026-W06,49.1,32.0,18.9,Bull,0.234,-6.406,6.875
IT,2026-W07,49.1,32.0,18.9,Bull,0.234,-6.407,6.874
IT,2026-W08,49.1,32.0,18.9,Bull,0.233,-6.407,6.874
IT,2026-W09,49.1,32.0,18.9,Bull,0.233,-6.408,6.873
Pharma,2026-W02,37.1,53.2,9.7,Bear,0.615,-3.186,4.416
Pharma,2026-W03,44.3,39.6,16.1,Bull,0.618,-3.183,4.419
Pharma,2026-W04,45.2,38.5,16.2,Bull,0.62,-3.181,4.421
Pharma,2026-W05,45.4,38.3,16.3,Bull,0.623,-3.178,4.424
Pharma,2026-W06,45.4,38.3,16.3,Bull,0.625,-3.176,4.426
Pharma,2026-W07,45.4,38.3,16.3,Bull,0.628,-3.173,4.429
Pharma,2026-W08,45.4,38.3,16.3,Bull,0.63,-3.171,4.431
Pharma,2026-W09,45.4,38.3,16.3,Bull,0.633,-3.168,4.434
