sector,quarter,return_5d,return_10d,speech_count,return_time
Auto,2016Q2,0.010758469013397151,0.02790957495374865,8,1-2 Weeks
Auto,2016Q3,0.029083599072712345,0.03179661406818197,8,~1 Week
Auto,2016Q4,-0.014853000810991104,-0.0033037692315126075,38,~1 Week
Auto,2017Q1,0.010039750946251706,0.02908323839424899,14,~2 Weeks
Auto,2017Q2,0.014306251570419898,0.02753818053199466,15,1-2 Weeks
Auto,2017Q3,0.013927956864406925,0.011805448649830389,14,~1 Week
Auto,2017Q4,0.014872927447399749,0.028393576198501788,35,1-2 Weeks
Auto,2018Q1,-0.0017075900355661327,-0.002169429740617594,8,~1 Week
Auto,2018Q2,0.0016903655981295883,0.0025038693083236805,13,~1 Week
Auto,2018Q3,-0.02152647502307116,-0.04114298461880491,5,1-2 Weeks
Auto,2018Q4,-0.0047882025179756685,-0.0005096583805933768,38,~1 Week
Auto,2019Q1,0.008556213935538815,0.010054900593259603,23,~1 Week
Auto,2019Q2,0.005955693845518084,-0.007240332997166149,52,~1 Week
Auto,2019Q3,0.001493031343636843,-0.00763024712421956,36,~2 Weeks
Auto,2019Q4,0.0017598539912389618,0.016412301776800454,60,~2 Weeks
Auto,2020Q1,-0.017201054773789075,-0.0385810508978263,18,1-2 Weeks
Auto,2020Q2,0.03464875796040134,0.05447998857746735,12,1-2 Weeks
Auto,2020Q3,0.018054823313983892,0.03439214766546519,16,1-2 Weeks
Auto,2020Q4,0.010566261814890891,0.03397150357429337,47,~2 Weeks
Auto,2021Q1,-0.004845009965627469,-0.013214700078393772,23,1-2 Weeks
Auto,2021Q2,0.013613219912692348,0.021066398934733464,17,1-2 Weeks
Auto,2021Q3,0.0027612312426779956,0.015434533814237017,14,~2 Weeks
Auto,2021Q4,-0.014553216787405048,-0.019364202070843686,49,~1 Week
Auto,2022Q1,-0.03640700305158478,-0.06600698606831693,10,1-2 Weeks
Auto,2022Q2,0.016191937060413504,0.02092571398668602,12,~1 Week
Auto,2022Q3,0.006416891945575775,0.01359471233670222,18,1-2 Weeks
Auto,2022Q4,-0.009431898473909706,-0.00976065874355434,42,~1 Week
Auto,2023Q1,0.008612170805566931,0.006857262769604622,25,~1 Week
Auto,2023Q2,0.011801676504189245,0.029345808850485676,25,1-2 Weeks
Auto,2023Q3,0.0026858317258088276,0.007550881970112547,18,1-2 Weeks
Auto,2023Q4,0.009405317998382219,0.013612018386088786,60,~1 Week
Auto,2024Q1,0.010130548104869243,0.024838248154923116,26,1-2 Weeks
Auto,2024Q2,0.006534320046694692,0.012294209322001221,39,1-2 Weeks
Auto,2024Q3,-0.008754758403701822,-0.005462278124251524,28,~1 Week
Auto,2024Q4,-0.0060550749269681885,-0.006525435472292163,42,~1 Week
Auto,2025Q1,-0.025861775492892508,-0.03530934901193344,28,~1 Week
Auto,2025Q2,0.011225691873023047,0.01994152786645074,42,1-2 Weeks
Auto,2025Q3,0.007220423179903679,0.022923695476715317,24,~2 Weeks
Auto,2025Q4,0.005868989287329985,0.011604180884859793,53,1-2 Weeks
Auto,2026Q1,-0.013441608196590111,-0.009921137886289406,58,~1 Week
Auto,2026Q2,0.03930455808781132,0.08303511415248095,6,1-2 Weeks
Banking,2016Q2,0.018576918289837475,0.03249257147139687,8,1-2 Weeks
Banking,2016Q3,0.006849386282984967,0.0014048051937474249,8,~1 Week
Banking,2016Q4,-0.012312464014774746,-0.017305692183699508,38,~1 Week
Banking,2017Q1,0.011115337467134383,0.026787936592694867,14,1-2 Weeks
Banking,2017Q2,0.008537447568630877,0.018032274700969162,15,1-2 Weeks
Banking,2017Q3,0.005445606403227417,0.00990371873698068,14,1-2 Weeks
Banking,2017Q4,0.003857668583767836,0.00792225441753991,35,1-2 Weeks
Banking,2018Q1,-0.017686246459957283,-0.02224220014962956,8,~1 Week
Banking,2018Q2,0.0020879605499416623,0.0002745792504814951,13,~1 Week
Banking,2018Q3,0.006546132500608986,0.015409772869710125,5,1-2 Weeks
Banking,2018Q4,0.003271364937476486,0.01288385678932446,38,~2 Weeks
Banking,2019Q1,0.0071487920000686215,0.01756596111290269,23,1-2 Weeks
Banking,2019Q2,0.011483102912857823,0.02262501490228065,52,1-2 Weeks
Banking,2019Q3,-0.005474914576280129,-0.013553946823885065,36,1-2 Weeks
Banking,2019Q4,0.00878679049654775,0.023292050956081656,60,1-2 Weeks
Banking,2020Q1,-0.01857290689670676,-0.04306018093329952,18,1-2 Weeks
Banking,2020Q2,0.03302759927666198,0.050636084633927284,12,~1 Week
Banking,2020Q3,0.01067965764917716,0.024273972962390717,16,1-2 Weeks
Banking,2020Q4,0.017766042295798402,0.03673432311056669,47,1-2 Weeks
Banking,2021Q1,0.0026079228728872,-0.0208374581628973,23,~2 Weeks
Banking,2021Q2,0.01075800677077331,0.024895924901671588,17,1-2 Weeks
Banking,2021Q3,0.004606362562428386,0.010852620707458748,14,1-2 Weeks
Banking,2021Q4,-0.006589281349482446,-0.010824741451932277,49,1-2 Weeks
Banking,2022Q1,-0.01614946249113514,-0.017960777074647275,10,~1 Week
Banking,2022Q2,0.007611079788038373,-0.0037100071558963813,12,~1 Week
Banking,2022Q3,0.017057237709653023,0.02562321267189427,18,~1 Week
Banking,2022Q4,0.007610906014073607,0.015530579945339056,42,1-2 Weeks
Banking,2023Q1,0.0011494743792085,0.0025651117724822333,25,1-2 Weeks
Banking,2023Q2,0.00747594568782925,0.008239769155464493,25,~1 Week
Banking,2023Q3,0.0003258762942858853,-0.003909404055905154,18,~2 Weeks
Banking,2023Q4,0.011777832168138939,0.023690026098553568,60,1-2 Weeks
Banking,2024Q1,0.003183408952576341,0.008468678662486013,26,1-2 Weeks
Banking,2024Q2,0.014154382381888509,0.022721804348399693,39,1-2 Weeks
Banking,2024Q3,-0.014411436158039085,-0.015576548458644238,28,~1 Week
Banking,2024Q4,0.01602755741538441,0.026299109717946766,42,1-2 Weeks
Banking,2025Q1,-0.007744481273959107,-0.0018728306818715033,28,~1 Week
Banking,2025Q2,0.010880689689548554,0.021001852266666256,42,1-2 Weeks
Banking,2025Q3,0.0012806555229465386,0.005390462714251555,24,~2 Weeks
Banking,2025Q4,0.004874744311420393,0.0057492033100075,53,~1 Week
Banking,2026Q1,-0.014331527382566371,-0.006868903249185141,58,~1 Week
Banking,2026Q2,0.04175692907648797,0.09590281567618181,6,1-2 Weeks
Broad Market,2016Q2,0.004811223232418139,0.013646021500676201,8,1-2 Weeks
